arm,label,seed,gpu,repeat,gpu_energy_joules,endpoint_wall_seconds,joules_per_window_second
ca,CA,1884470933,1,1,2037.223,8.56083869934082,237.97002508140528
ca,CA,1884470933,1,2,2036.725,8.559981033205986,237.93569075668634
ca,CA,1884470933,2,0,1949.148,8.562343701720238,227.64187796016665
ca,CA,1884470933,2,1,1950.303,8.568042727187276,227.62526543098218
ca,CA,1884470933,2,2,1954.837,8.566632743924856,228.19199310094146
ca,CA,1884470933,3,0,2061.198,8.556535797193646,240.8916469064533
ca,CA,1884470933,3,1,2064.148,8.55904165096581,241.16578516323494
ca,CA,1884470933,3,2,2067.118,8.558710554614663,241.5221296256428
ca,CA,55048408,0,0,2058.551,8.56066807731986,240.46616238442957
ca,CA,55048408,0,1,2061.757,8.55679701641202,240.9496212245692
ca,CA,55048408,0,2,2082.051,8.560626802965999,243.212447864055
ca,CA,55048408,1,0,2034.507,8.555326284840703,237.8058921732734
ca,CA,55048408,1,1,2034.106,8.554901078343391,237.77083818646483
ca,CA,55048408,1,2,2033.992,8.5562683660537,237.71951895170773
ca,CA,55048408,2,0,1950.391,8.562258314341307,227.78932010649615
ca,CA,55048408,2,1,1961.505,8.559265622869134,229.1674410429721
ca,CA,55048408,2,2,1980.101,8.560688951984048,231.30159396120644
ca,CA,55048408,3,0,2062.16,8.552798932418227,241.1093744041686
ca,CA,55048408,3,1,2064.05,8.555803725495934,241.24559962136792
ca,CA,55048408,3,2,2065.273,8.553681641817093,241.44842963330885
ca,CA,979986572,0,0,2057.951,8.560041891410947,240.41365989866543
ca,CA,979986572,0,1,2062.534,8.557102125138044,241.03183178577842
ca,CA,979986572,0,2,2079.298,8.556914240121841,242.9962415949599
ca,CA,979986572,1,0,2034.579,8.560066612437367,237.6826130118957
ca,CA,979986572,1,1,2035.735,8.555164117366076,237.95393893936807
ca,CA,979986572,1,2,2034.024,8.555861270055175,237.73456999810412
ca,CA,979986572,2,0,1948.997,8.563286805525422,227.5991735722805
ca,CA,979986572,2,1,1968.117,8.559792498126626,229.92578388211362
ca,CA,979986572,2,2,1971.607,8.560063585639,230.3262096449511
ca,CA,979986572,3,0,2061.667,8.55448355525732,241.00426246456027
ca,CA,979986572,3,1,2065.625,8.552386220544577,241.5261596860473
ca,CA,979986572,3,2,2067.244,8.554952884092927,241.6429439189352
