arm,label,seed,gpu,repeat,endpoint_wall_seconds
cs,CS,979986572,1,1,3.897544216364622
cs,CS,979986572,1,2,3.8948859609663486
cs,CS,979986572,2,0,3.8984898068010807
cs,CS,979986572,2,1,3.899511393159628
cs,CS,979986572,2,2,3.8994570784270763
cs,CS,979986572,3,0,3.8996679708361626
cs,CS,979986572,3,1,3.9010641127824783
cs,CS,979986572,3,2,3.8995536118745804
ca,CA,1884470933,0,0,3.1845755092799664
ca,CA,1884470933,0,1,3.182876441627741
ca,CA,1884470933,0,2,3.181606288999319
ca,CA,1884470933,1,0,3.179368983954191
ca,CA,1884470933,1,1,3.1820147335529327
ca,CA,1884470933,1,2,3.1812848821282387
ca,CA,1884470933,2,0,3.186533808708191
ca,CA,1884470933,2,1,3.182260274887085
ca,CA,1884470933,2,2,3.185769248753786
ca,CA,1884470933,3,0,3.182033210992813
ca,CA,1884470933,3,1,3.183092560619116
ca,CA,1884470933,3,2,3.184023216366768
ca,CA,55048408,0,0,3.171385895460844
ca,CA,55048408,0,1,3.1729422956705093
ca,CA,55048408,0,2,3.172475378960371
ca,CA,55048408,1,0,3.173904709517956
ca,CA,55048408,1,1,3.175144985318184
ca,CA,55048408,1,2,3.1753197610378265
ca,CA,55048408,2,0,3.1844017915427685
ca,CA,55048408,2,1,3.1836750209331512
ca,CA,55048408,2,2,3.1812358237802982
ca,CA,55048408,3,0,3.1763154678046703
ca,CA,55048408,3,1,3.177969790995121
ca,CA,55048408,3,2,3.1778096556663513
ca,CA,979986572,0,0,3.173438422381878
ca,CA,979986572,0,1,3.1750934459269047
ca,CA,979986572,0,2,3.173396695405245
ca,CA,979986572,1,0,3.1749305836856365
ca,CA,979986572,1,1,3.1760634817183018
ca,CA,979986572,1,2,3.1750607527792454
ca,CA,979986572,2,0,3.1792765259742737
ca,CA,979986572,2,1,3.182790119200945
ca,CA,979986572,2,2,3.1823705956339836
ca,CA,979986572,3,0,3.180733248591423
ca,CA,979986572,3,1,3.1823385767638683
ca,CA,979986572,3,2,3.1797355264425278
