arm,label,seed,gpu,repeat,gpu_energy_joules,endpoint_wall_seconds,joules_per_window_second
cs,CS,1884470933,2,0,954.517,3.900106865912676,244.74124243686092
cs,CS,1884470933,2,1,954.97,3.902766164392233,244.69055018281242
cs,CS,1884470933,2,2,956.757,3.9013292230665684,245.23872385421464
cs,CS,1884470933,3,0,937.373,3.9002095758914948,240.33913607981924
cs,CS,1884470933,3,1,937.505,3.901816289871931,240.2739981463278
cs,CS,1884470933,3,2,938.749,3.9005131274461746,240.67320614676083
cs,CS,55048408,0,0,941.184,3.884060926735401,242.3195767917771
cs,CS,55048408,0,1,923.165,3.883310228586197,237.72630710889615
cs,CS,55048408,0,2,947.598,3.882478680461645,244.07036792468003
cs,CS,55048408,1,0,874.161,3.893944311887026,224.49242464291353
cs,CS,55048408,1,1,877.322,3.891412604600191,225.4507781988688
cs,CS,55048408,1,2,862.356,3.8892646208405495,221.72726313840462
cs,CS,55048408,2,0,953.823,3.9023020043969154,244.4257258729029
cs,CS,55048408,2,1,934.344,3.9041631147265434,239.31991890288725
cs,CS,55048408,2,2,958.679,3.9013914056122303,245.72745985468694
cs,CS,55048408,3,0,924.679,3.8939060159027576,237.4682378628555
cs,CS,55048408,3,1,934.492,3.8944344371557236,239.95576638401454
cs,CS,55048408,3,2,921.838,3.8921143263578415,236.84761615485138
cs,CS,979986572,0,0,900.918,3.88371903821826,231.97301121280793
cs,CS,979986572,0,1,922.409,3.885313719511032,237.4091428879739
cs,CS,979986572,0,2,922.537,3.884170066565275,237.51199978114974
cs,CS,979986572,1,0,864.936,3.896568424999714,221.973774270386
cs,CS,979986572,1,1,845.966,3.897544216364622,217.05103342972785
cs,CS,979986572,1,2,868.451,3.8948859609663486,222.97212516705656
cs,CS,979986572,2,0,947.601,3.8984898068010807,243.06873865538134
cs,CS,979986572,2,1,928.484,3.899511393159628,238.10265091896147
cs,CS,979986572,2,2,947.233,3.8994570784270763,242.91407263856465
cs,CS,979986572,3,0,914.28,3.8996679708361626,234.45072935375086
cs,CS,979986572,3,1,912.892,3.9010641127824783,234.01102202057106
cs,CS,979986572,3,2,915.484,3.8995536118745804,234.76635818321566
ca,CA,1884470933,0,0,730.611,3.1845755092799664,229.42178568885353
ca,CA,1884470933,0,1,708.971,3.182876441627741,222.74537293613204
ca,CA,1884470933,0,2,729.217,3.181606288999319,229.19774911224286
ca,CA,1884470933,1,0,664.469,3.179368983954191,208.99398696831906
ca,CA,1884470933,1,1,682.975,3.1820147335529327,214.63602691663613
ca,CA,1884470933,1,2,684.243,3.1812848821282387,215.08384987585592
ca,CA,1884470933,2,0,741.941,3.186533808708191,232.8363810145106
ca,CA,1884470933,2,1,743.289,3.182260274887085,233.57266087431327
